String Size,Correctness,Timing,Size,Average Correctness,Average Timing,Inverse Multiplication
1,1,1.313607216,1,0.96,0.4856134415,0.5058473349
1,1,0.4735338688,2,0.82,0.4749752903,0.5792381589
1,1,0.3806800842,3,0.46,0.4704272747,1.022667988
1,1,0.5681400299,4,0.2,0.4873853064,2.436926532
1,1,0.519370079,5,0.16,0.5236149502,3.272593439
1,1,0.5170691013,6,0.06,0.4900607777,8.167679628
1,1,0.5078847408,7,0.06,0.4695885277,7.826475461
1,1,0.4084467888,8,0.04,0.5190394163,12.97598541
1,1,0.4617900848,9,0.02,0.5007192802,25.03596401
1,0,0.5620999336,10,0.02,0.5441629362,27.20814681
1,1,0.5126309395,11,0,0.5391885471,#DIV/0!
1,1,0.4088592529,12,0.04,0.5201273251,13.00318313
1,1,0.4092648029,13,0.02,0.5093045855,25.46522927
1,1,0.614757061,14,0.02,0.55698452,27.849226
1,1,0.4567668438,15,0.02,0.5895650196,29.47825098
1,1,0.465239048,16,0.08,0.6350932884,7.938666105
1,1,0.3951816559,17,0,0.5635616016,#DIV/0!
1,1,0.3701519966,18,0,0.5914067936,#DIV/0!
1,1,0.511559248,19,0.04,0.6041098881,15.1027472
1,1,0.4106829166,20,0.02,0.5693289471,28.46644735