size of input set,correctness,time(API),Size,Average Correctness,Average Timing,Inverse Multiplication
2,1,1.55261302,2,1,0.5835539246,0.5835539246
2,1,0.5087108612,3,0.86,0.5930230188,0.6895616498
2,1,0.552172184,4,0.62,0.6167251587,0.9947179979
2,1,0.4845290184,5,0.5,0.6575700521,1.315140104
2,1,0.5182240009,6,0.28,0.6781406593,2.421930926
2,1,0.5922157764,7,0.3,0.7315699053,2.438566351
2,1,0.8366811275,8,0.18,0.7023561049,3.90197836
2,1,0.528234005,9,0.26,0.7683637571,2.95524522
2,1,0.4570300579,10,0.16,0.7521746731,4.701091707
2,1,0.5140280724,11,0.26,1.091608839,4.198495535
2,1,0.5262310505,12,0.12,0.8226396799,6.855330666
2,1,0.6136767864,13,0.14,0.8848905325,6.320646661
2,1,0.7195467949,14,0.12,0.8853822184,7.378185153
2,1,0.6145150661,15,0.18,0.8402438092,4.668021162
2,1,0.8173229694,16,0.1,0.8943791914,8.943791914
2,1,0.5083122253,17,0.28,0.8490746737,3.032409549
2,1,0.6128959656,18,0.22,0.891473999,4.052154541
2,1,0.6178460121,19,0.08,0.8183411837,10.2292648
2,1,0.6175498962,20,0.12,0.9558770943,7.965642452